公示批次链接,名称缩减
http://www.chinafilm.gov.cn/chinafilm/contents/167/3023.shtml,国家新闻出版广电总局电影局关于2015年01月（下旬）全国电影剧本...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3024.shtml,广电总局电影局关于2015年1月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3025.shtml,广电总局电影局关于2014年12月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3026.shtml,广电总局电影局关于2014年12月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3027.shtml,广电总局电影局关于2014年11月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3028.shtml,广电总局电影局关于2014年11月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3029.shtml,广电总局电影局关于2014年10月全国电影剧本（梗概）备案、立项公...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3030.shtml,广电总局电影局关于2014年10月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3031.shtml,广电总局电影局关于2014年09月下旬全国电影剧本（梗概）备案、立...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3032.shtml,广电总局电影局关于2014年09月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3033.shtml,广电总局电影局关于2014年08月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3034.shtml,广电总局电影局关于2014年08月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3035.shtml,广电总局电影局关于2014年07月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3036.shtml,广电总局电影局关于2014年07月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3037.shtml,广电总局电影局关于2014年06月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3038.shtml,广电总局电影局关于2014年06月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3039.shtml,广电总局电影局关于2014年05月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3040.shtml,广电总局电影局关于2014年05月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3041.shtml,广电总局电影局关于2014年04月（下旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3042.shtml,广电总局电影局关于2014年04月（上旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3043.shtml,广电总局电影局关于2014年03月（下旬）全国电影剧本（梗概）备案...
