公示批次链接,名称缩减
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015a8e6af875140e402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年02月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015a8282a1493fc8402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年02月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015a5ebd2e0e2631402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年01月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015a36f20c070a57402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年01月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0159ca2539cf1a07402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2017年01月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0159b0dac7ad58f3402881a659a4b9fa&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年12月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0159678b9f2f5504402881a658a9ac9f&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年12月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01591b17a7a815ed402881a658a9ac9f&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年12月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0158f73875cf64d3402881a658a9ac9f&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年11月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0158b306633a5f27402881a658a9ac9f&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年11月（中旬）全国电影剧本（梗概）备案、...
